address,lat,lon,total_tickets,total_owed,total_paid
10020 S. COMMERCIAL AVE,41.7128729,-87.5515143,9,16557.39,0
1004 W. 103RD ST,41.7066412,-87.6467766,1,2609.97,0
10042 S. YALE AVE,41.7112871,-87.6298388,4,10944.32,0
10043 S. LOWE AVE,41.7111828,-87.6390158,4,5387.86,0
10105 S. COMMERCIAL AVE,41.711567,-87.551136,9,13765.3,0
10107 S. COMMERCIAL AVE,41.711502,-87.551163,3,6923.05,0
10135 S. WALLACE ST,41.7095259,-87.637703,6,11818.14,0
1021 W. 112TH PL,41.6891844,-87.647953,3,6649.56,0
10215 S. LAFAYETTE AVE,41.7084825,-87.6245267,6,6039.01,0
1023 W. 112TH PL,41.689187,-87.6481114,4,13713.84,0
10241 S. WALLACE ST,41.707571,-87.6376499,35,64279.04,0
1025 W. 112TH PL,41.6891861,-87.6481524,3,7163.09,0
1033 W. 69TH ST,41.768521,-87.650927,33,52993.86,0
104 W. 107TH ST,41.700099,-87.625987,7,16901.16,0
1046 W. 115TH ST,41.685248,-87.6488571,4,6383.57,0
10508 S. LAFAYETTE AVE,41.7030559,-87.624944,13,25669.94,0
1051 E. 95TH ST,41.721857,-87.597673,3,3663.46,0
10516 S. LA SALLE ST,41.702948,-87.6272152,12,20486.37,0
10531 S. PERRY AVE,41.7025581,-87.6255271,21,35671.59,0
10534 S. LAFAYETTE AVE,41.7024925,-87.6248377,9,16817.19,0
10536 S. LAFAYETTE AVE,41.7024143,-87.6248185,14,26808.57,0
10539 S. PERRY AVE,41.702314,-87.625427,3,3608.85,0
1054 W. MARQUETTE RD,41.7726395,-87.6515723,1,2518.86,0
10540 S. PERRY AVE,41.7021865,-87.6261023,5,6717.18,0
10542 S. STATE ST,41.7022199,-87.623729,18,29575,0
10543 S. PERRY AVE,41.702238,-87.625425,4,5968.6,0
106 W. 103RD PL,41.7064602,-87.6261246,1,0,0
10600 S. LAFAYETTE AVE,41.7015281,-87.6248371,5,11098.11,0
10600 S. WENTWORTH AVE,41.701512,-87.628455,15,26099.98,0
10602 S. LAFAYETTE AVE,41.7014672,-87.6249023,1,2702.32,0
10602 S. WENTWORTH AVE,41.7013967,-87.6283749,19,42226.55,0
10625 S. WENTWORTH AVE,41.7008879,-87.6277484,8,10655.32,0
10626 S. MAY ST,41.7005327,-87.6510764,12,24862.68,0
